year,round,circuit,driver,constructor,quali_position
2000,1,albert_park,hakkinen,mclaren,1
2000,1,albert_park,coulthard,mclaren,2
2000,1,albert_park,michael_schumacher,ferrari,3
2000,1,albert_park,barrichello,ferrari,4
2000,1,albert_park,frentzen,jordan,5
2000,1,albert_park,trulli,jordan,6
2000,1,albert_park,irvine,jaguar,7
2000,1,albert_park,villeneuve,bar,8
2000,1,albert_park,fisichella,benetton,9
2000,1,albert_park,salo,sauber,10
2000,1,albert_park,ralf_schumacher,williams,11
2000,1,albert_park,rosa,arrows,12
2000,1,albert_park,verstappen,arrows,13
2000,1,albert_park,wurz,benetton,14
2000,1,albert_park,heidfeld,prost,15
2000,1,albert_park,zonta,bar,16
2000,1,albert_park,alesi,prost,17
2000,1,albert_park,gene,minardi,18
2000,1,albert_park,diniz,sauber,19
2000,1,albert_park,herbert,jaguar,20
2000,1,albert_park,button,williams,21
2000,1,albert_park,mazzacane,minardi,22
2000,3,imola,hakkinen,mclaren,1
2000,3,imola,michael_schumacher,ferrari,2
2000,3,imola,coulthard,mclaren,3
2000,3,imola,barrichello,ferrari,4
2000,3,imola,ralf_schumacher,williams,5
2000,3,imola,frentzen,jordan,6
2000,3,imola,irvine,jaguar,7
2000,3,imola,trulli,jordan,8
2000,3,imola,villeneuve,bar,9
2000,3,imola,diniz,sauber,10
2000,3,imola,wurz,benetton,11
2000,3,imola,salo,sauber,12
2000,3,imola,rosa,arrows,13
2000,3,imola,zonta,bar,14
2000,3,imola,alesi,prost,15
2000,3,imola,verstappen,arrows,16
2000,3,imola,herbert,jaguar,17
2000,3,imola,button,williams,18
2000,3,imola,fisichella,benetton,19
2000,3,imola,mazzacane,minardi,20
2000,3,imola,gene,minardi,21
2000,3,imola,heidfeld,prost,22
2000,4,silverstone,barrichello,ferrari,1
2000,4,silverstone,frentzen,jordan,2
2000,4,silverstone,hakkinen,mclaren,3
2000,4,silverstone,coulthard,mclaren,4
2000,4,silverstone,michael_schumacher,ferrari,5
2000,4,silverstone,button,williams,6
2000,4,silverstone,ralf_schumacher,williams,7
2000,4,silverstone,verstappen,arrows,8
2000,4,silverstone,irvine,jaguar,9
2000,4,silverstone,villeneuve,bar,10
2000,4,silverstone,trulli,jordan,11
2000,4,silverstone,fisichella,benetton,12
2000,4,silverstone,diniz,sauber,13
2000,4,silverstone,herbert,jaguar,14
2000,4,silverstone,alesi,prost,15
2000,4,silverstone,zonta,bar,16
2000,4,silverstone,heidfeld,prost,17
2000,4,silverstone,salo,sauber,18
2000,4,silverstone,rosa,arrows,19
2000,4,silverstone,wurz,benetton,20
2000,4,silverstone,gene,minardi,21
2000,4,silverstone,mazzacane,minardi,22
2000,16,suzuka,michael_schumacher,ferrari,1
2000,16,suzuka,hakkinen,mclaren,2
2000,16,suzuka,coulthard,mclaren,3
2000,16,suzuka,barrichello,ferrari,4
2000,16,suzuka,button,williams,5
2000,16,suzuka,ralf_schumacher,williams,6
2000,16,suzuka,irvine,jaguar,7
2000,16,suzuka,frentzen,jordan,8
2000,16,suzuka,villeneuve,bar,9
2000,16,suzuka,herbert,jaguar,10
2000,16,suzuka,wurz,benetton,11
2000,16,suzuka,fisichella,benetton,12
2000,16,suzuka,rosa,arrows,13
2000,16,suzuka,verstappen,arrows,14
2000,16,suzuka,trulli,jordan,15
2000,16,suzuka,heidfeld,prost,16
2000,16,suzuka,alesi,prost,17
2000,16,suzuka,zonta,bar,18
2000,16,suzuka,salo,sauber,19
2000,16,suzuka,diniz,sauber,20
2000,16,suzuka,gene,minardi,21
2000,16,suzuka,mazzacane,minardi,22
2001,16,indianapolis,michael_schumacher,ferrari,1
2001,16,indianapolis,ralf_schumacher,williams,2
2001,16,indianapolis,montoya,williams,3
2001,16,indianapolis,hakkinen,mclaren,4
2001,16,indianapolis,barrichello,ferrari,5
2001,16,indianapolis,heidfeld,sauber,6
2001,16,indianapolis,coulthard,mclaren,7
2001,16,indianapolis,trulli,jordan,8
2001,16,indianapolis,alesi,jordan,9
2001,16,indianapolis,button,benetton,10
2001,16,indianapolis,raikkonen,sauber,11
2001,16,indianapolis,fisichella,benetton,12
2001,16,indianapolis,panis,bar,13
2001,16,indianapolis,irvine,jaguar,14
2001,16,indianapolis,frentzen,prost,15
2001,16,indianapolis,rosa,jaguar,16
2001,16,indianapolis,alonso,minardi,17
2001,16,indianapolis,villeneuve,bar,18
2001,16,indianapolis,bernoldi,arrows,19
2001,16,indianapolis,verstappen,arrows,20
2001,16,indianapolis,enge,prost,21
2001,16,indianapolis,yoong,minardi,22
2002,2,sepang,michael_schumacher,ferrari,1
2002,2,sepang,montoya,williams,2
2002,2,sepang,barrichello,ferrari,3
2002,2,sepang,ralf_schumacher,williams,4
2002,2,sepang,raikkonen,mclaren,5
2002,2,sepang,coulthard,mclaren,6
2002,2,sepang,heidfeld,sauber,7
