year,round,race_name,circuit,driver,constructor,grid,position,points,status,laps
2000,1,Australian Grand Prix,albert_park,michael_schumacher,ferrari,3,1,10.0,Finished,58
2000,1,Australian Grand Prix,albert_park,barrichello,ferrari,4,2,6.0,Finished,58
2000,1,Australian Grand Prix,albert_park,ralf_schumacher,williams,11,3,4.0,Finished,58
2000,1,Australian Grand Prix,albert_park,villeneuve,bar,8,4,3.0,Finished,58
2000,1,Australian Grand Prix,albert_park,fisichella,benetton,9,5,2.0,Finished,58
2000,1,Australian Grand Prix,albert_park,zonta,bar,16,6,1.0,Finished,58
2000,1,Australian Grand Prix,albert_park,wurz,benetton,14,7,0.0,Finished,58
2000,1,Australian Grand Prix,albert_park,gene,minardi,18,8,0.0,+1 Lap,57
2000,1,Australian Grand Prix,albert_park,heidfeld,prost,15,9,0.0,+2 Laps,56
2000,1,Australian Grand Prix,albert_park,salo,sauber,10,10,0.0,Disqualified,58
2000,1,Australian Grand Prix,albert_park,button,williams,21,11,0.0,Engine,46
2000,1,Australian Grand Prix,albert_park,diniz,sauber,19,12,0.0,Transmission,41
2000,1,Australian Grand Prix,albert_park,mazzacane,minardi,22,13,0.0,Gearbox,40
2000,1,Australian Grand Prix,albert_park,frentzen,jordan,5,14,0.0,Hydraulics,39
2000,1,Australian Grand Prix,albert_park,trulli,jordan,6,15,0.0,Engine,35
2000,1,Australian Grand Prix,albert_park,alesi,prost,17,16,0.0,Hydraulics,27
2000,1,Australian Grand Prix,albert_park,hakkinen,mclaren,1,17,0.0,Engine,18
2000,1,Australian Grand Prix,albert_park,verstappen,arrows,13,18,0.0,Suspension,16
2000,1,Australian Grand Prix,albert_park,coulthard,mclaren,2,19,0.0,Engine,11
2000,1,Australian Grand Prix,albert_park,rosa,arrows,12,20,0.0,Suspension,6
2000,1,Australian Grand Prix,albert_park,irvine,jaguar,7,21,0.0,Spun off,6
2000,1,Australian Grand Prix,albert_park,herbert,jaguar,20,22,0.0,Clutch,1
2000,2,Brazilian Grand Prix,interlagos,michael_schumacher,ferrari,3,1,10.0,Finished,71
2000,2,Brazilian Grand Prix,interlagos,fisichella,benetton,5,2,6.0,Finished,71
2000,2,Brazilian Grand Prix,interlagos,frentzen,jordan,7,3,4.0,Finished,71
2000,2,Brazilian Grand Prix,interlagos,trulli,jordan,12,4,3.0,Finished,71
2000,2,Brazilian Grand Prix,interlagos,ralf_schumacher,williams,11,5,2.0,+1 Lap,70
2000,2,Brazilian Grand Prix,interlagos,button,williams,9,6,1.0,+1 Lap,70
2000,2,Brazilian Grand Prix,interlagos,verstappen,arrows,14,7,0.0,+1 Lap,70
2000,2,Brazilian Grand Prix,interlagos,rosa,arrows,16,8,0.0,+1 Lap,70
2000,2,Brazilian Grand Prix,interlagos,zonta,bar,8,9,0.0,+2 Laps,69
2000,2,Brazilian Grand Prix,interlagos,mazzacane,minardi,20,10,0.0,+2 Laps,69
2000,2,Brazilian Grand Prix,interlagos,coulthard,mclaren,2,11,0.0,Disqualified,71
2000,2,Brazilian Grand Prix,interlagos,herbert,jaguar,17,12,0.0,Gearbox,51
2000,2,Brazilian Grand Prix,interlagos,gene,minardi,18,13,0.0,Engine,31
2000,2,Brazilian Grand Prix,interlagos,hakkinen,mclaren,1,14,0.0,Oil pressure,30
2000,2,Brazilian Grand Prix,interlagos,barrichello,ferrari,4,15,0.0,Hydraulics,27
2000,2,Brazilian Grand Prix,interlagos,irvine,jaguar,6,16,0.0,Spun off,20
2000,2,Brazilian Grand Prix,interlagos,villeneuve,bar,10,17,0.0,Gearbox,16
2000,2,Brazilian Grand Prix,interlagos,alesi,prost,15,18,0.0,Electrical,11
2000,2,Brazilian Grand Prix,interlagos,heidfeld,prost,19,19,0.0,Engine,9
2000,2,Brazilian Grand Prix,interlagos,wurz,benetton,13,20,0.0,Engine,6
2000,2,Brazilian Grand Prix,interlagos,diniz,sauber,0,21,0.0,Safety concerns,0
2000,2,Brazilian Grand Prix,interlagos,salo,sauber,0,22,0.0,Safety concerns,0
2000,3,San Marino Grand Prix,imola,michael_schumacher,ferrari,2,1,10.0,Finished,62
2000,3,San Marino Grand Prix,imola,hakkinen,mclaren,1,2,6.0,Finished,62
2000,3,San Marino Grand Prix,imola,coulthard,mclaren,3,3,4.0,Finished,62
2000,3,San Marino Grand Prix,imola,barrichello,ferrari,4,4,3.0,Finished,62
2000,3,San Marino Grand Prix,imola,villeneuve,bar,9,5,2.0,+1 Lap,61
2000,3,San Marino Grand Prix,imola,salo,sauber,12,6,1.0,+1 Lap,61
2000,3,San Marino Grand Prix,imola,irvine,jaguar,7,7,0.0,+1 Lap,61
2000,3,San Marino Grand Prix,imola,diniz,sauber,10,8,0.0,+1 Lap,61
2000,3,San Marino Grand Prix,imola,wurz,benetton,11,9,0.0,+1 Lap,61
2000,3,San Marino Grand Prix,imola,herbert,jaguar,17,10,0.0,+1 Lap,61
2000,3,San Marino Grand Prix,imola,fisichella,benetton,19,11,0.0,+1 Lap,61
2000,3,San Marino Grand Prix,imola,zonta,bar,14,12,0.0,+1 Lap,61
2000,3,San Marino Grand Prix,imola,mazzacane,minardi,20,13,0.0,+2 Laps,60
2000,3,San Marino Grand Prix,imola,verstappen,arrows,16,14,0.0,+3 Laps,59
2000,3,San Marino Grand Prix,imola,trulli,jordan,8,15,0.0,Gearbox,58
2000,3,San Marino Grand Prix,imola,rosa,arrows,13,16,0.0,Spun off,49
2000,3,San Marino Grand Prix,imola,ralf_schumacher,williams,5,17,0.0,Fuel system,45
2000,3,San Marino Grand Prix,imola,alesi,prost,15,18,0.0,Hydraulics,25
2000,3,San Marino Grand Prix,imola,heidfeld,prost,22,19,0.0,Hydraulics,22
2000,3,San Marino Grand Prix,imola,button,williams,18,20,0.0,Engine,5
2000,3,San Marino Grand Prix,imola,gene,minardi,21,21,0.0,Spun off,5
2000,3,San Marino Grand Prix,imola,frentzen,jordan,6,22,0.0,Gearbox,4
2000,4,British Grand Prix,silverstone,coulthard,mclaren,4,1,10.0,Finished,60
2000,4,British Grand Prix,silverstone,hakkinen,mclaren,3,2,6.0,Finished,60
2000,4,British Grand Prix,silverstone,michael_schumacher,ferrari,5,3,4.0,Finished,60
2000,4,British Grand Prix,silverstone,ralf_schumacher,williams,7,4,3.0,Finished,60
2000,4,British Grand Prix,silverstone,button,williams,6,5,2.0,Finished,60
2000,4,British Grand Prix,silverstone,trulli,jordan,11,6,1.0,Finished,60
2000,4,British Grand Prix,silverstone,fisichella,benetton,12,7,0.0,+1 Lap,59
2000,4,British Grand Prix,silverstone,salo,sauber,18,8,0.0,+1 Lap,59
2000,4,British Grand Prix,silverstone,wurz,benetton,20,9,0.0,+1 Lap,59
2000,4,British Grand Prix,silverstone,alesi,prost,15,10,0.0,+1 Lap,59
2000,4,British Grand Prix,silverstone,diniz,sauber,13,11,0.0,+1 Lap,59
2000,4,British Grand Prix,silverstone,herbert,jaguar,14,12,0.0,+1 Lap,59
2000,4,British Grand Prix,silverstone,irvine,jaguar,9,13,0.0,+1 Lap,59
2000,4,British Grand Prix,silverstone,gene,minardi,21,14,0.0,+1 Lap,59
2000,4,British Grand Prix,silverstone,mazzacane,minardi,22,15,0.0,+1 Lap,59
2000,4,British Grand Prix,silverstone,villeneuve,bar,10,16,0.0,+4 Laps,56
2000,4,British Grand Prix,silverstone,frentzen,jordan,2,17,0.0,+6 Laps,54
2000,4,British Grand Prix,silverstone,heidfeld,prost,17,18,0.0,Engine,51
2000,4,British Grand Prix,silverstone,zonta,bar,16,19,0.0,Spun off,36
2000,4,British Grand Prix,silverstone,barrichello,ferrari,1,20,0.0,Hydraulics,35
2000,4,British Grand Prix,silverstone,rosa,arrows,19,21,0.0,Electrical,26
2000,4,British Grand Prix,silverstone,verstappen,arrows,8,22,0.0,Electrical,20
2000,5,Spanish Grand Prix,catalunya,hakkinen,mclaren,2,1,10.0,Finished,65
2000,5,Spanish Grand Prix,catalunya,coulthard,mclaren,4,2,6.0,Finished,65
2000,5,Spanish Grand Prix,catalunya,barrichello,ferrari,3,3,4.0,Finished,65
2000,5,Spanish Grand Prix,catalunya,ralf_schumacher,williams,5,4,3.0,Finished,65
2000,5,Spanish Grand Prix,catalunya,michael_schumacher,ferrari,1,5,2.0,Finished,65
2000,5,Spanish Grand Prix,catalunya,frentzen,jordan,8,6,1.0,Finished,65
