year,driver,championship_points,championship_wins,championship_position
2000,michael_schumacher,108.0,9,1
2000,hakkinen,89.0,4,2
2000,coulthard,73.0,3,3
2000,barrichello,62.0,1,4
2000,ralf_schumacher,24.0,0,5
2000,fisichella,18.0,0,6
2000,villeneuve,17.0,0,7
2000,button,12.0,0,8
2000,frentzen,11.0,0,9
2000,trulli,6.0,0,10
2000,salo,6.0,0,11
2000,verstappen,5.0,0,12
2000,irvine,4.0,0,13
2000,zonta,3.0,0,14
2000,wurz,2.0,0,15
2000,rosa,2.0,0,16
2000,herbert,0.0,0,0
2000,diniz,0.0,0,0
2000,gene,0.0,0,0
2000,heidfeld,0.0,0,0
2000,mazzacane,0.0,0,0
2000,alesi,0.0,0,0
2000,burti,0.0,0,0
2001,michael_schumacher,123.0,9,1
2001,coulthard,65.0,2,2
2001,barrichello,56.0,0,3
2001,ralf_schumacher,49.0,3,4
2001,hakkinen,37.0,2,5
2001,montoya,31.0,1,6
2001,villeneuve,12.0,0,7
2001,heidfeld,12.0,0,8
2001,trulli,12.0,0,9
2001,raikkonen,9.0,0,10
2001,fisichella,8.0,0,11
2001,irvine,6.0,0,12
2001,frentzen,6.0,0,13
2001,panis,5.0,0,14
2001,alesi,5.0,0,15
2001,rosa,3.0,0,16
2001,button,2.0,0,17
2001,verstappen,1.0,0,18
2001,zonta,0.0,0,0
2001,burti,0.0,0,0
2001,bernoldi,0.0,0,0
2001,marques,0.0,0,0
2001,alonso,0.0,0,0
2001,enge,0.0,0,0
2001,mazzacane,0.0,0,0
2001,yoong,0.0,0,0
2002,michael_schumacher,144.0,11,1
2002,barrichello,77.0,4,2
2002,montoya,50.0,0,3
2002,ralf_schumacher,42.0,1,4
2002,coulthard,41.0,1,5
2002,raikkonen,24.0,0,6
2002,button,14.0,0,7
2002,trulli,9.0,0,8
2002,irvine,8.0,0,9
2002,heidfeld,7.0,0,10
2002,fisichella,7.0,0,11
2002,villeneuve,4.0,0,12
2002,massa,4.0,0,13
2002,panis,3.0,0,14
2002,sato,2.0,0,15
2002,webber,2.0,0,16
2002,salo,2.0,0,17
2002,frentzen,2.0,0,18
2002,mcnish,0.0,0,19
2002,yoong,0.0,0,20
2002,rosa,0.0,0,21
2002,bernoldi,0.0,0,22
2002,davidson,0.0,0,0
2003,michael_schumacher,93.0,6,1
2003,raikkonen,91.0,1,2
2003,montoya,82.0,2,3
2003,barrichello,65.0,2,4
2003,ralf_schumacher,58.0,2,5
2003,alonso,55.0,1,6
2003,coulthard,51.0,1,7
2003,trulli,33.0,0,8
2003,button,17.0,0,9
2003,webber,17.0,0,10
2003,frentzen,13.0,0,11
2003,fisichella,12.0,1,12
2003,matta,10.0,0,13
2003,heidfeld,6.0,0,14
2003,panis,6.0,0,15
2003,villeneuve,6.0,0,16
2003,gene,4.0,0,17
2003,sato,3.0,0,18
2003,firman,1.0,0,19
2003,wilson,1.0,0,20
2003,pizzonia,0.0,0,21
2003,verstappen,0.0,0,22
2003,kiesa,0.0,0,23
2003,baumgartner,0.0,0,24
2004,michael_schumacher,148.0,13,1
2004,barrichello,114.0,2,2
2004,button,85.0,0,3
2004,alonso,59.0,0,4
2004,montoya,58.0,1,5
2004,trulli,46.0,1,6
2004,raikkonen,45.0,1,7
2004,sato,34.0,0,8
2004,ralf_schumacher,24.0,0,9
2004,coulthard,24.0,0,10
2004,fisichella,22.0,0,11
2004,massa,12.0,0,12
2004,webber,7.0,0,13
2004,panis,6.0,0,14
2004,pizzonia,6.0,0,15
2004,klien,3.0,0,16
2004,matta,3.0,0,17
2004,heidfeld,3.0,0,18
2004,glock,2.0,0,19
2004,baumgartner,1.0,0,20
2004,villeneuve,0.0,0,21
2004,zonta,0.0,0,22
2004,gene,0.0,0,23
2004,pantano,0.0,0,24
2004,bruni,0.0,0,25
2005,alonso,133.0,7,1
2005,raikkonen,112.0,7,2
2005,michael_schumacher,62.0,1,3
2005,montoya,60.0,3,4
2005,fisichella,58.0,1,5
2005,ralf_schumacher,45.0,0,6
2005,trulli,43.0,0,7
2005,barrichello,38.0,0,8
2005,button,37.0,0,9
2005,webber,36.0,0,10
2005,heidfeld,28.0,0,11
2005,coulthard,24.0,0,12
2005,massa,11.0,0,13
2005,villeneuve,9.0,0,14
2005,klien,9.0,0,15
2005,monteiro,7.0,0,16
2005,wurz,6.0,0,17
2005,karthikeyan,5.0,0,18
2005,albers,4.0,0,19
2005,rosa,4.0,0,20
2005,friesacher,3.0,0,21
2005,pizzonia,2.0,0,22
2005,sato,1.0,0,23
2005,liuzzi,1.0,0,24
2005,doornbos,0.0,0,25
2005,zonta,0.0,0,0
2005,davidson,0.0,0,0
2006,alonso,134.0,7,1
2006,michael_schumacher,121.0,7,2
2006,massa,80.0,2,3
2006,fisichella,72.0,1,4
2006,raikkonen,65.0,0,5
2006,button,56.0,1,6
2006,barrichello,30.0,0,7
2006,montoya,26.0,0,8
2006,heidfeld,23.0,0,9
2006,ralf_schumacher,20.0,0,10
2006,rosa,19.0,0,11
2006,trulli,15.0,0,12
2006,coulthard,14.0,0,13
2006,webber,7.0,0,14
2006,villeneuve,7.0,0,15
2006,kubica,6.0,0,16
2006,rosberg,4.0,0,17
2006,klien,2.0,0,18
2006,liuzzi,1.0,0,19
2006,speed,0.0,0,20
2006,monteiro,0.0,0,21
2006,albers,0.0,0,22
2006,sato,0.0,0,23
2006,doornbos,0.0,0,24
2006,ide,0.0,0,25
2006,yamamoto,0.0,0,26
2006,montagny,0.0,0,27
2007,raikkonen,110.0,6,1
2007,hamilton,109.0,4,2
2007,alonso,109.0,4,3
2007,massa,94.0,3,4
2007,heidfeld,61.0,0,5
2007,kubica,39.0,0,6
2007,kovalainen,30.0,0,7
2007,fisichella,21.0,0,8
2007,rosberg,20.0,0,9
2007,coulthard,14.0,0,10
2007,wurz,13.0,0,11
2007,webber,10.0,0,12
2007,trulli,8.0,0,13
2007,vettel,6.0,0,14
2007,button,6.0,0,15
2007,ralf_schumacher,5.0,0,16
2007,sato,4.0,0,17
2007,liuzzi,3.0,0,18
2007,sutil,1.0,0,19
2007,barrichello,0.0,0,20
2007,speed,0.0,0,21
2007,nakajima,0.0,0,22
2007,davidson,0.0,0,23
2007,yamamoto,0.0,0,24
2007,albers,0.0,0,25
2007,markus_winkelhock,0.0,0,0
2008,hamilton,98.0,5,1
2008,massa,97.0,6,2
2008,raikkonen,75.0,2,3
2008,kubica,75.0,1,4
2008,alonso,61.0,2,5
2008,heidfeld,60.0,0,6
2008,kovalainen,53.0,1,7
2008,vettel,35.0,1,8
2008,trulli,31.0,0,9
